dataset,model,feature,importance_mean,importance_std,rank,n_repeats
breast_cancer,random_forest,mean compactness,-0.00058,0.001369,30,10
breast_cancer,random_forest,mean concavity,0.000474,0.002785,13,10
breast_cancer,random_forest,mean concave points,0.001474,0.004185,6,10
breast_cancer,random_forest,mean symmetry,-0.000317,0.000804,29,10
breast_cancer,random_forest,mean fractal dimension,-0.000305,0.000861,28,10
breast_cancer,random_forest,radius error,-0.000252,0.00088,25,10
breast_cancer,random_forest,texture error,-0.000302,0.000491,27,10
breast_cancer,random_forest,perimeter error,0.000252,0.000982,14,10
breast_cancer,random_forest,area error,0.001031,0.004077,9,10
breast_cancer,random_forest,smoothness error,-4e-05,0.000683,21,10
breast_cancer,random_forest,compactness error,0.000132,0.001026,16,10
breast_cancer,random_forest,concavity error,1.3e-05,0.000289,19,10
breast_cancer,random_forest,concave points error,7.9e-05,0.00073,18,10
breast_cancer,random_forest,symmetry error,1.3e-05,0.000583,20,10
breast_cancer,random_forest,fractal dimension error,-0.000212,0.001407,24,10
breast_cancer,random_forest,worst radius,0.001082,0.004062,8,10
breast_cancer,random_forest,worst texture,0.002525,0.005448,3,10
breast_cancer,random_forest,worst perimeter,0.002494,0.005186,4,10
breast_cancer,random_forest,worst area,0.004441,0.004609,1,10
breast_cancer,random_forest,worst smoothness,0.000184,0.001562,15,10
breast_cancer,random_forest,worst compactness,-0.000278,0.002535,26,10
breast_cancer,random_forest,worst concavity,0.001614,0.003661,5,10
breast_cancer,random_forest,worst concave points,0.002581,0.00552,2,10
breast_cancer,random_forest,worst symmetry,0.000118,0.001002,17,10
breast_cancer,random_forest,worst fractal dimension,-0.000171,0.000754,23,10
breast_cancer,mlp,mean radius,0.003342,0.002794,3,10
breast_cancer,mlp,mean texture,0.000942,0.002437,12,10
breast_cancer,mlp,mean perimeter,0.001358,0.001436,9,10
breast_cancer,mlp,mean area,0.000878,0.001761,13,10
breast_cancer,mlp,mean smoothness,-0.001205,0.002362,25,10
breast_cancer,mlp,mean compactness,-0.000646,0.002104,22,10
breast_cancer,mlp,mean concavity,0.000143,0.001746,17,10
breast_cancer,mlp,mean concave points,0.001153,0.001756,11,10
breast_cancer,mlp,mean symmetry,-0.000156,0.001496,19,10
breast_cancer,mlp,mean fractal dimension,0.004299,0.004355,1,10
breast_cancer,mlp,radius error,0.002042,0.002875,6,10
breast_cancer,mlp,texture error,-0.000715,0.000867,23,10
breast_cancer,mlp,perimeter error,0.000157,0.000738,16,10
breast_cancer,mlp,area error,0.001499,0.001857,7,10
breast_cancer,mlp,smoothness error,-0.001874,0.00259,30,10
breast_cancer,mlp,compactness error,-0.000387,0.002607,20,10
breast_cancer,mlp,concavity error,-0.001366,0.002135,27,10
breast_cancer,mlp,concave points error,-0.001349,0.003297,26,10
breast_cancer,mlp,symmetry error,-3.4e-05,0.0025,18,10
breast_cancer,mlp,fractal dimension error,0.000769,0.002612,14,10
breast_cancer,mlp,worst radius,0.003701,0.00253,2,10
breast_cancer,mlp,worst texture,0.002726,0.002728,5,10
breast_cancer,mlp,worst perimeter,0.002851,0.002295,4,10
breast_cancer,mlp,worst area,0.001216,0.001166,10,10
breast_cancer,mlp,worst smoothness,-0.001061,0.004381,24,10
breast_cancer,mlp,worst compactness,-0.000485,0.00121,21,10
breast_cancer,mlp,worst concavity,0.001418,0.002425,8,10
breast_cancer,mlp,worst concave points,0.000747,0.001243,15,10
breast_cancer,mlp,worst symmetry,-0.001443,0.002431,28,10
breast_cancer,mlp,worst fractal dimension,-0.001478,0.003198,29,10
breast_cancer,xgboost,mean radius,0.0,0.0,12,10
breast_cancer,xgboost,mean texture,0.001874,0.0056,5,10
breast_cancer,xgboost,mean perimeter,2.6e-05,0.000256,11,10
breast_cancer,xgboost,mean area,-0.000265,0.000897,16,10
breast_cancer,xgboost,mean smoothness,-0.00077,0.002609,30,10
breast_cancer,xgboost,mean compactness,-0.000264,0.000725,15,10
breast_cancer,xgboost,mean concavity,-0.000569,0.001456,27,10
breast_cancer,xgboost,mean concave points,0.001335,0.002884,6,10
breast_cancer,xgboost,mean symmetry,-0.00037,0.001096,20,10
breast_cancer,xgboost,mean fractal dimension,-0.000265,0.000691,17,10
breast_cancer,xgboost,radius error,-0.000172,0.001488,14,10
breast_cancer,xgboost,texture error,-0.000516,0.00114,25,10
breast_cancer,xgboost,perimeter error,0.000106,0.000546,10,10
breast_cancer,xgboost,area error,0.002337,0.003099,4,10
breast_cancer,xgboost,smoothness error,-0.000489,0.000893,24,10
breast_cancer,xgboost,compactness error,0.000187,0.002779,9,10
breast_cancer,xgboost,concavity error,-0.000408,0.000922,21,10
breast_cancer,xgboost,concave points error,-0.000423,0.000647,22,10
breast_cancer,xgboost,symmetry error,-0.000447,0.002029,23,10
breast_cancer,xgboost,fractal dimension error,-0.000318,0.001069,19,10
breast_cancer,xgboost,worst radius,-0.000304,0.001838,18,10
breast_cancer,xgboost,worst texture,0.003889,0.005416,2,10
breast_cancer,xgboost,worst perimeter,0.000945,0.001977,7,10
breast_cancer,xgboost,worst area,0.003975,0.002888,1,10
breast_cancer,xgboost,worst smoothness,-0.00065,0.002828,29,10
breast_cancer,xgboost,worst compactness,-4e-05,0.000125,13,10
breast_cancer,xgboost,worst concavity,0.000903,0.002464,8,10
breast_cancer,xgboost,worst concave points,0.003631,0.004589,3,10
breast_cancer,xgboost,worst symmetry,-0.000516,0.00199,26,10
breast_cancer,xgboost,worst fractal dimension,-0.000595,0.001882,28,10
breast_cancer,catboost,mean radius,0.000329,0.000498,16,10
breast_cancer,catboost,mean texture,0.001919,0.004205,4,10
breast_cancer,catboost,mean perimeter,-0.000238,0.000604,27,10
breast_cancer,catboost,mean area,0.000264,0.000968,18,10
breast_cancer,catboost,mean smoothness,-0.000505,0.001496,30,10
breast_cancer,catboost,mean compactness,0.000528,0.001082,13,10
breast_cancer,catboost,mean concavity,0.000157,0.001099,19,10
breast_cancer,catboost,mean concave points,0.001794,0.00229,6,10
breast_cancer,catboost,mean symmetry,0.000329,0.000822,15,10
breast_cancer,catboost,mean fractal dimension,9.2e-05,0.00025,21,10
breast_cancer,catboost,radius error,5.2e-05,0.00217,23,10
breast_cancer,catboost,texture error,-0.000395,0.000576,29,10
breast_cancer,catboost,perimeter error,-0.000251,0.000477,28,10
breast_cancer,catboost,area error,0.0021,0.002566,2,10
breast_cancer,catboost,smoothness error,-0.000173,0.000525,26,10
breast_cancer,catboost,compactness error,0.000595,0.001201,11,10
breast_cancer,catboost,concavity error,-0.0,0.000487,24,10
breast_cancer,catboost,concave points error,0.000396,0.000578,14,10
breast_cancer,catboost,symmetry error,0.000304,0.001011,17,10
breast_cancer,catboost,fractal dimension error,0.000542,0.001172,12,10
breast_cancer,catboost,worst radius,0.000713,0.001091,9,10
breast_cancer,catboost,worst texture,0.003927,0.004442,1,10
breast_cancer,catboost,worst perimeter,0.001994,0.001891,3,10
breast_cancer,catboost,worst area,0.001821,0.00157,5,10
breast_cancer,catboost,worst smoothness,0.000671,0.002793,10,10
breast_cancer,catboost,worst compactness,-0.000106,0.000424,25,10
breast_cancer,catboost,worst concavity,0.000988,0.001018,8,10
breast_cancer,catboost,worst concave points,0.001004,0.001636,7,10
breast_cancer,catboost,worst symmetry,9e-05,0.000792,22,10
breast_cancer,catboost,worst fractal dimension,0.000105,0.000979,20,10
liver,logistic_regression,Age,0.027617,0.02374,6,10
liver,logistic_regression,Gender,-0.001459,0.00369,10,10
liver,logistic_regression,TB,0.011078,0.010862,8,10
liver,logistic_regression,DB,0.045384,0.024045,3,10
liver,logistic_regression,Alkphos,0.024766,0.022669,7,10
liver,logistic_regression,Sgpt,0.054138,0.03581,2,10
liver,logistic_regression,Sgot,0.029631,0.027585,5,10
liver,logistic_regression,TP,0.040978,0.044322,4,10
liver,logistic_regression,ALB,0.083894,0.088539,1,10
liver,logistic_regression,A/G Ratio,0.007986,0.019973,9,10
liver,svm,Age,0.040541,0.052875,5,10
liver,svm,Gender,-0.007849,0.017912,10,10
liver,svm,TB,0.012929,0.027737,8,10
liver,svm,DB,0.040848,0.027837,4,10
liver,svm,Alkphos,0.036234,0.047882,6,10
liver,svm,Sgpt,0.057068,0.024271,3,10
liver,svm,Sgot,0.000535,0.015106,9,10
liver,svm,TP,0.061772,0.053294,2,10
liver,svm,ALB,0.149583,0.1238,1,10
liver,svm,A/G Ratio,0.020669,0.040173,7,10
liver,random_forest,Age,0.017733,0.019165,4,10
liver,random_forest,Gender,0.005322,0.00918,7,10
liver,random_forest,TB,0.008426,0.015517,6,10
liver,random_forest,DB,0.027213,0.01956,3,10
liver,random_forest,Alkphos,0.029996,0.021891,1,10
liver,random_forest,Sgpt,0.029251,0.024064,2,10
liver,random_forest,Sgot,0.012527,0.019476,5,10
liver,random_forest,TP,-0.005466,0.012778,10,10
liver,random_forest,ALB,0.000474,0.015841,9,10
liver,random_forest,A/G Ratio,0.001945,0.017516,8,10
liver,mlp,Age,0.027017,0.026969,2,10
liver,mlp,Gender,0.024085,0.034355,3,10
liver,mlp,TB,0.016261,0.018237,5,10
liver,mlp,DB,0.039105,0.012953,1,10
liver,mlp,Alkphos,0.016075,0.024885,6,10
liver,mlp,Sgpt,0.023075,0.017093,4,10
liver,mlp,Sgot,0.009756,0.01534,8,10
liver,mlp,TP,0.008286,0.020367,9,10
liver,mlp,ALB,0.007644,0.029405,10,10
liver,mlp,A/G Ratio,0.010048,0.023229,7,10
liver,xgboost,Age,0.036485,0.021469,3,10
liver,xgboost,Gender,0.003995,0.00813,7,10
liver,xgboost,TB,-0.000696,0.022731,9,10
liver,xgboost,DB,0.045921,0.01855,1,10
liver,xgboost,Alkphos,0.037634,0.038452,2,10
liver,xgboost,Sgpt,0.031551,0.029754,4,10
liver,xgboost,Sgot,0.001902,0.019966,8,10
liver,xgboost,TP,-0.00552,0.01109,10,10
liver,xgboost,ALB,0.004572,0.01951,6,10
liver,xgboost,A/G Ratio,0.004618,0.01347,5,10
liver,catboost,Age,0.032824,0.023549,3,10
liver,catboost,Gender,0.008867,0.011474,8,10
liver,catboost,TB,0.017963,0.020491,5,10
liver,catboost,DB,0.020193,0.01561,4,10
liver,catboost,Alkphos,0.042093,0.038288,1,10
liver,catboost,Sgpt,0.041419,0.028428,2,10
liver,catboost,Sgot,0.013906,0.01834,6,10
liver,catboost,TP,0.002658,0.017299,10,10
liver,catboost,ALB,0.003883,0.015781,9,10
liver,catboost,A/G Ratio,0.011079,0.019381,7,10
liver,tabpfn,Age,0.02988,0.018621,3,10
liver,tabpfn,Gender,-0.001819,0.006217,10,10
liver,tabpfn,TB,0.003017,0.012086,9,10
liver,tabpfn,DB,0.035934,0.02683,2,10
liver,tabpfn,Alkphos,0.024369,0.029662,4,10
liver,tabpfn,Sgpt,0.038787,0.028576,1,10
liver,tabpfn,Sgot,0.01205,0.017306,7,10
liver,tabpfn,TP,0.012098,0.028021,6,10
liver,tabpfn,ALB,0.017606,0.032441,5,10
liver,tabpfn,A/G Ratio,0.004702,0.015989,8,10
ckd,logistic_regression,age,0.0,0.0,21,10
ckd,logistic_regression,bp,0.0,0.0,20,10
ckd,logistic_regression,sg,0.017627,0.008436,1,10
ckd,logistic_regression,al,0.002507,0.003934,4,10
ckd,logistic_regression,su,0.000107,0.000225,12,10
ckd,logistic_regression,rbc,0.0,0.0,15,10
ckd,logistic_regression,pc,0.0,0.0,19,10
ckd,logistic_regression,pcc,0.0,0.0,16,10
ckd,logistic_regression,ba,0.0,0.0,18,10
ckd,logistic_regression,bgr,0.000133,0.000288,10,10
ckd,logistic_regression,bu,8e-05,0.000253,13,10
ckd,logistic_regression,sc,0.002613,0.005555,3,10
ckd,logistic_regression,sod,0.000827,0.002614,6,10
ckd,logistic_regression,pot,0.0,0.0,17,10
ckd,logistic_regression,hemo,0.008213,0.005741,2,10
ckd,logistic_regression,pcv,0.001493,0.002298,5,10
ckd,logistic_regression,wbcc,0.0,0.0,22,10
ckd,logistic_regression,rbcc,0.00064,0.001167,7,10
ckd,logistic_regression,htn,0.000187,0.000399,9,10
ckd,logistic_regression,dm,0.0004,0.000864,8,10
ckd,logistic_regression,cad,0.0,0.0,23,10
ckd,logistic_regression,appet,0.000133,0.000288,11,10
ckd,logistic_regression,pe,2.7e-05,8.4e-05,14,10
ckd,logistic_regression,ane,0.0,0.0,24,10
ckd,svm,age,0.0,0.0,21,10
ckd,svm,bp,0.001787,0.003536,10,10
ckd,svm,sg,0.012933,0.009715,1,10
ckd,svm,al,0.00488,0.004964,3,10
ckd,svm,su,0.002213,0.002679,8,10
ckd,svm,rbc,0.0,0.0,22,10
ckd,svm,pc,0.0,0.0,19,10
ckd,svm,pcc,0.0,0.0,20,10
ckd,svm,ba,0.0,0.0,18,10
ckd,svm,bgr,0.002853,0.00246,6,10
ckd,svm,bu,0.00344,0.005618,5,10
ckd,svm,sc,0.00256,0.00398,7,10
ckd,svm,sod,0.00104,0.002131,13,10
ckd,svm,pot,0.00184,0.004097,9,10
ckd,svm,hemo,0.008053,0.005856,2,10
ckd,svm,pcv,0.004427,0.003646,4,10
ckd,svm,wbcc,0.001733,0.003728,11,10
ckd,svm,rbcc,0.00136,0.002211,12,10
ckd,svm,htn,0.000133,0.000422,17,10
ckd,svm,dm,0.000293,0.000928,14,10
ckd,svm,cad,0.0,0.0,23,10
ckd,svm,appet,0.00024,0.000759,15,10
ckd,svm,pe,0.00016,0.00036,16,10
ckd,svm,ane,0.0,0.0,24,10
ckd,random_forest,age,-0.0,0.0,16,10
ckd,random_forest,bp,-0.0,0.0,23,10
ckd,random_forest,sg,0.00944,0.00942,1,10
ckd,random_forest,al,0.00064,0.001152,5,10
ckd,random_forest,su,-0.0,0.0,15,10
ckd,random_forest,rbc,-0.0,0.0,18,10
ckd,random_forest,pc,-0.0,0.0,22,10
ckd,random_forest,pcc,-0.0,0.0,17,10
ckd,random_forest,ba,0.0,0.0,11,10
ckd,random_forest,bgr,-0.0,0.0,14,10
ckd,random_forest,bu,-0.0,0.0,21,10
ckd,random_forest,sc,0.001533,0.00282,2,10
ckd,random_forest,sod,5.3e-05,0.000169,10,10
ckd,random_forest,pot,-0.0,0.0,20,10
ckd,random_forest,hemo,0.001387,0.002402,3,10
ckd,random_forest,pcv,0.00024,0.000759,6,10
ckd,random_forest,wbcc,-0.0,0.0,13,10
ckd,random_forest,rbcc,8e-05,0.000253,8,10
ckd,random_forest,htn,0.000213,0.000587,7,10
ckd,random_forest,dm,0.001373,0.003976,4,10
ckd,random_forest,cad,-0.0,0.0,12,10
ckd,random_forest,appet,8e-05,0.00018,9,10
ckd,random_forest,pe,-0.0,0.0,24,10
ckd,random_forest,ane,-0.0,0.0,19,10
ckd,mlp,age,-2.7e-05,0.000319,24,10
ckd,mlp,bp,0.006,0.012733,9,10
ckd,mlp,sg,0.011547,0.01138,3,10
ckd,mlp,al,0.02208,0.01197,1,10
ckd,mlp,su,0.021733,0.018907,2,10
ckd,mlp,rbc,0.000453,0.001052,16,10
ckd,mlp,pc,0.0004,0.000725,17,10
ckd,mlp,pcc,0.000107,0.000258,20,10
ckd,mlp,ba,0.0,0.0,23,10
ckd,mlp,bgr,0.00112,0.001723,15,10
ckd,mlp,bu,0.01032,0.012797,5,10
ckd,mlp,sc,0.006133,0.008697,7,10
ckd,mlp,sod,0.003867,0.008634,11,10
ckd,mlp,pot,0.006107,0.012695,8,10
ckd,mlp,hemo,0.010613,0.008938,4,10
ckd,mlp,pcv,0.008053,0.005864,6,10
ckd,mlp,wbcc,0.003093,0.004699,12,10
ckd,mlp,rbcc,0.004187,0.005311,10,10
ckd,mlp,htn,0.00032,0.000559,18,10
ckd,mlp,dm,0.002347,0.005494,13,10
ckd,mlp,cad,2.7e-05,8.4e-05,22,10
ckd,mlp,appet,0.001413,0.003562,14,10
ckd,mlp,pe,0.000107,0.000258,21,10
ckd,mlp,ane,0.00016,0.00036,19,10
ckd,xgboost,age,-2.7e-05,8.4e-05,21,10
ckd,xgboost,bp,0.0,0.0,7,10
ckd,xgboost,sg,0.04832,0.024713,2,10
