seed,model,fold,auroc,accuracy,f1_weighted,brier
7,mlp,3,0.8959,0.8,0.7972,0.1369
7,mlp,4,0.9286,0.7667,0.7659,0.11
7,mlp,5,0.8527,0.8,0.7944,0.1499
7,mlp,6,0.9509,0.9,0.8997,0.0753
7,mlp,7,0.933,0.9,0.9001,0.0902
7,mlp,8,0.7991,0.7333,0.7259,0.1843
7,mlp,9,0.9509,0.8333,0.8328,0.1015
42,xgboost,0,0.9202,0.8065,0.8069,0.1193
42,xgboost,1,0.9559,0.9032,0.9013,0.1265
42,xgboost,2,0.8824,0.8065,0.8069,0.1387
42,xgboost,3,0.8959,0.8,0.8,0.1412
42,xgboost,4,0.933,0.7667,0.7669,0.1288
42,xgboost,5,0.8348,0.8,0.7944,0.1583
42,xgboost,6,0.933,0.8667,0.863,0.1043
42,xgboost,7,0.8705,0.7667,0.7659,0.1466
42,xgboost,8,0.933,0.9,0.8983,0.1292
42,xgboost,9,0.817,0.7,0.6949,0.187
0,xgboost,0,0.895,0.7419,0.734,0.1534
0,xgboost,1,0.9412,0.8387,0.8387,0.1045
0,xgboost,2,0.9076,0.7742,0.7732,0.1291
0,xgboost,3,0.9005,0.8667,0.8667,0.1312
0,xgboost,4,0.9018,0.8667,0.8655,0.1194
0,xgboost,5,0.8616,0.8,0.8,0.155
0,xgboost,6,0.8527,0.8,0.8,0.1677
0,xgboost,7,0.8929,0.8333,0.8305,0.1348
0,xgboost,8,0.9062,0.8667,0.863,0.1196
0,xgboost,9,0.9286,0.8667,0.8655,0.0913
1,xgboost,0,0.9496,0.871,0.871,0.0818
1,xgboost,1,0.937,0.8065,0.8065,0.1375
1,xgboost,2,0.8866,0.871,0.8696,0.1165
1,xgboost,3,0.819,0.7667,0.7675,0.1807
1,xgboost,4,0.933,0.7667,0.7659,0.1117
1,xgboost,5,0.9375,0.9333,0.9327,0.0777
1,xgboost,6,0.8839,0.8333,0.8305,0.1415
1,xgboost,7,0.808,0.7,0.699,0.2047
1,xgboost,8,0.8705,0.8333,0.8328,0.1347
1,xgboost,9,0.9241,0.8333,0.8328,0.1142
7,xgboost,0,0.9706,0.9677,0.9676,0.0652
7,xgboost,1,0.958,0.9032,0.9034,0.1
7,xgboost,2,0.8151,0.8387,0.838,0.1714
7,xgboost,3,0.8643,0.8,0.7972,0.1566
7,xgboost,4,0.9107,0.8,0.7982,0.1295
7,xgboost,5,0.9062,0.8333,0.8265,0.1229
7,xgboost,6,0.9018,0.8333,0.8335,0.1226
7,xgboost,7,0.933,0.8667,0.8667,0.0985
7,xgboost,8,0.8304,0.7,0.699,0.1984
7,xgboost,9,0.8616,0.8667,0.8655,0.1433
42,catboost,0,0.9538,0.9032,0.9028,0.1054
42,catboost,1,0.979,0.9355,0.9355,0.1055
42,catboost,2,0.8992,0.8065,0.8065,0.1298
42,catboost,3,0.8959,0.8667,0.8667,0.1362
42,catboost,4,0.9107,0.7667,0.7669,0.1403
42,catboost,5,0.8527,0.8,0.7944,0.1626
42,catboost,6,0.9286,0.8667,0.863,0.1125
42,catboost,7,0.8795,0.7333,0.7333,0.1482
42,catboost,8,0.9286,0.9,0.8983,0.0964
42,catboost,9,0.8705,0.7667,0.7659,0.1596
0,catboost,0,0.9118,0.8065,0.8005,0.1462
0,catboost,1,0.916,0.871,0.8712,0.1124
0,catboost,2,0.9118,0.8065,0.8044,0.1293
0,catboost,3,0.8778,0.7667,0.7653,0.1438
0,catboost,4,0.9018,0.8667,0.8655,0.1237
0,catboost,5,0.8705,0.7,0.7003,0.1638
0,catboost,6,0.9241,0.8333,0.8328,0.1315
0,catboost,7,0.875,0.8,0.7944,0.1443
0,catboost,8,0.9196,0.9,0.8983,0.1234
0,catboost,9,0.9286,0.8667,0.8655,0.0868
1,catboost,0,0.9622,0.871,0.871,0.1069
1,catboost,1,0.9286,0.8065,0.8069,0.1358
1,catboost,2,0.8866,0.871,0.871,0.1181
1,catboost,3,0.8281,0.7333,0.7345,0.1683
1,catboost,4,0.9688,0.8667,0.863,0.1023
1,catboost,5,0.9598,0.9333,0.9327,0.0826
1,catboost,6,0.8616,0.8333,0.8305,0.1612
1,catboost,7,0.7991,0.7,0.699,0.223
1,catboost,8,0.8973,0.8667,0.8655,0.1195
1,catboost,9,0.9509,0.8667,0.8655,0.1141
7,catboost,0,0.979,0.9677,0.9676,0.0653
7,catboost,1,0.9328,0.8387,0.839,0.1121
7,catboost,2,0.8193,0.8065,0.8065,0.1726
7,catboost,3,0.8416,0.8,0.7972,0.156
7,catboost,4,0.9062,0.8,0.7982,0.1344
7,catboost,5,0.8884,0.8333,0.8265,0.1246
7,catboost,6,0.875,0.7667,0.7659,0.1447
7,catboost,7,0.9375,0.9,0.9001,0.093
7,catboost,8,0.8259,0.7,0.7003,0.1906
7,catboost,9,0.8661,0.8667,0.8655,0.1439
42,tabpfn,0,0.9244,0.8387,0.839,0.1083
42,tabpfn,1,0.9874,0.9355,0.9355,0.0621
42,tabpfn,2,0.8866,0.8387,0.838,0.1289
42,tabpfn,3,0.8959,0.8333,0.8324,0.1368
42,tabpfn,4,0.9464,0.8,0.8,0.1042
42,tabpfn,5,0.8571,0.8,0.7982,0.1517
42,tabpfn,6,0.9777,0.8667,0.863,0.0753
42,tabpfn,7,0.8661,0.7333,0.7333,0.1633
42,tabpfn,8,0.9554,0.9,0.8983,0.0726
42,tabpfn,9,0.8571,0.8,0.7982,0.168
0,tabpfn,0,0.9496,0.8065,0.8005,0.1277
0,tabpfn,1,0.9202,0.8387,0.8387,0.1097
0,tabpfn,2,0.9328,0.8387,0.8356,0.118
0,tabpfn,3,0.9095,0.8333,0.8324,0.1134
0,tabpfn,4,0.8929,0.8667,0.8655,0.121
0,tabpfn,5,0.8973,0.8,0.8,0.1326
0,tabpfn,6,0.9464,0.8667,0.8667,0.0988
0,tabpfn,7,0.9018,0.8333,0.8305,0.1277
0,tabpfn,8,0.9062,0.8667,0.8655,0.1087
0,tabpfn,9,0.9286,0.8667,0.8655,0.0926
1,tabpfn,0,0.9706,0.9032,0.9034,0.0719
1,tabpfn,1,0.9328,0.8065,0.8069,0.1221
1,tabpfn,2,0.9118,0.8387,0.8356,0.1077
1,tabpfn,3,0.819,0.7667,0.7675,0.1791
1,tabpfn,4,0.9286,0.8667,0.863,0.0946
1,tabpfn,5,1.0,0.9333,0.9327,0.0542
1,tabpfn,6,0.8884,0.8,0.7944,0.1428
1,tabpfn,7,0.8237,0.7,0.699,0.1886
1,tabpfn,8,0.8571,0.8333,0.8328,0.1308
